nbItems: 90
nbOrderSize: 3
nbOrders: 3000
nbShelves: 96

Orders: [
74 0 0
20 74 9
55 88 0
33 1 0
50 0 0
52 0 0
1 49 0
13 8 0
9 66 67
4 3 0
15 0 0
40 66 33
32 59 14
14 22 0
88 7 76
34 22 0
66 0 0
17 88 37
18 82 8
40 4 33
20 66 34
14 0 0
60 3 42
33 63 0
23 8 33
59 49 80
7 38 33
42 86 0
42 0 0
58 72 28
57 0 0
42 0 0
40 0 0
58 41 0
52 74 0
52 38 22
66 9 0
64 7 15
28 43 81
33 72 0
22 0 0
87 78 0
82 61 72
38 0 0
52 0 0
32 3 37
40 72 0
38 20 0
40 76 52
78 61 33
52 5 71
5 0 0
72 87 49
15 0 0
47 0 0
30 11 15
83 63 40
12 52 64
59 82 0
52 38 0
12 37 70
77 81 0
77 52 59
62 22 0
40 86 34
28 0 0
66 15 50
11 74 48
62 0 0
51 72 50
59 87 0
61 34 0
7 55 0
14 0 0
49 30 0
37 0 0
42 36 28
21 24 72
82 64 0
85 0 0
13 82 36
30 48 1
37 33 0
81 23 0
33 81 0
5 8 0
52 0 0
52 72 0
11 59 0
8 0 0
77 48 0
52 37 42
52 33 0
59 19 82
63 0 0
1 33 0
61 42 0
47 24 0
52 56 50
37 72 0
49 33 0
14 0 0
74 88 0
57 0 0
42 0 0
88 0 0
7 18 6
48 7 32
43 30 0
51 38 59
50 52 0
86 31 85
62 82 18
52 77 84
35 4 0
67 0 0
82 0 0
43 0 0
74 0 0
26 87 0
29 11 0
15 9 79
14 33 0
62 28 38
4 13 52
30 74 0
59 88 0
47 35 0
34 15 37
26 64 34
90 40 18
48 40 55
42 52 0
88 0 0
65 6 59
1 0 0
20 59 77
21 9 0
70 54 64
28 42 48
69 0 0
76 0 0
59 5 25
31 18 0
64 59 0
37 9 59
88 29 66
7 0 0
52 0 0
81 0 0
5 35 74
40 83 57
15 43 22
87 0 0
22 5 29
59 0 0
4 0 0
43 49 8
85 59 0
37 52 34
13 47 0
77 0 0
34 64 20
75 0 0
40 0 0
52 21 59
51 0 0
84 14 0
52 48 0
49 6 0
22 50 0
36 43 64
18 0 0
50 47 0
52 77 20
37 65 0
8 29 0
88 76 0
77 0 0
23 0 0
42 18 0
33 52 0
24 64 0
10 49 0
84 6 46
76 22 25
54 13 0
30 0 0
20 64 37
33 52 59
82 28 33
78 59 84
33 50 0
40 1 0
15 25 43
38 32 17
33 4 0
1 18 54
37 88 0
90 6 40
88 0 0
48 32 33
37 34 63
24 74 65
48 77 0
9 76 82
20 86 5
48 37 0
52 67 74
69 4 18
14 30 0
58 0 0
36 50 87
37 22 0
36 74 0
42 0 0
83 52 14
36 0 0
8 0 0
6 38 0
5 51 1
28 3 0
32 15 0
24 0 0
10 22 33
42 34 0
37 33 0
36 0 0
70 11 59
64 0 0
84 82 52
56 18 36
8 66 40
37 49 7
88 52 0
33 63 1
4 22 0
89 0 0
59 1 0
38 33 43
4 86 0
52 34 40
49 59 0
56 67 28
66 28 0
84 9 0
76 59 64
7 33 0
40 0 0
15 33 0
42 36 74
20 47 87
15 9 70
29 17 78
85 42 0
42 78 38
34 47 18
1 33 5
66 70 0
44 40 0
56 88 0
54 52 0
36 52 0
82 49 10
18 50 9
61 42 33
4 88 84
13 90 7
72 0 0
56 87 0
40 0 0
66 63 0
59 0 0
22 57 84
7 48 49
72 30 0
1 0 0
52 20 0
77 75 88
72 4 0
78 31 0
7 83 76
72 22 0
64 15 43
74 15 0
88 74 43
70 0 0
33 36 0
59 12 43
48 42 0
88 19 17
15 33 0
40 50 80
7 70 0
38 7 9
18 0 0
21 40 3
59 77 15
88 30 1
42 30 0
21 5 0
7 42 0
49 0 0
63 42 47
25 65 37
76 55 42
1 59 85
21 8 0
3 0 0
9 88 0
42 49 0
61 42 0
85 33 0
48 8 0
52 33 59
59 0 0
5 78 0
84 76 0
15 29 0
36 35 7
24 0 0
33 0 0
89 0 0
36 22 0
4 1 7
52 4 81
34 28 42
37 0 0
5 0 0
78 89 9
59 55 0
84 25 38
77 15 0
48 34 36
15 58 59
78 0 0
13 22 0
36 86 59
9 82 0
15 26 52
5 0 0
74 78 0
85 32 37
64 0 0
61 0 0
64 0 0
46 66 0
74 42 40
37 59 0
63 0 0
70 83 0
38 88 0
48 32 0
9 42 6
49 88 0
85 7 36
52 0 0
70 76 64
74 63 48
50 9 0
30 88 42
29 47 31
52 49 0
36 22 0
9 0 0
59 0 0
38 74 0
3 28 6
16 9 0
17 0 0
84 22 0
11 52 0
36 0 0
50 10 0
67 64 13
21 72 77
35 0 0
49 29 60
42 58 0
38 33 77
52 40 0
74 63 88
50 9 52
59 38 0
22 77 57
26 0 0
58 48 80
6 11 63
52 88 61
4 49 77
36 82 52
49 74 6
14 0 0
15 0 0
40 0 0
28 33 51
10 24 26
37 81 0
49 51 50
1 20 0
1 7 58
48 1 0
52 49 0
63 9 0
38 5 63
63 0 0
25 49 52
9 0 0
64 1 72
50 88 18
37 0 0
38 0 0
33 34 22
38 36 0
50 38 0
3 11 0
40 63 1
67 22 37
15 9 42
74 4 0
40 82 24
69 7 30
21 23 42
34 0 0
8 81 0
36 84 33
32 50 22
36 31 40
46 0 0
28 89 47
50 1 82
51 36 7
25 21 0
15 9 0
52 15 0
10 40 5
63 40 0
57 26 0
9 0 0
59 62 0
29 0 0
76 37 0
77 65 0
50 34 52
88 37 77
7 52 0
28 40 61
61 29 59
35 0 0
42 14 0
58 30 72
29 32 0
34 88 0
16 7 0
58 3 49
17 42 0
63 34 0
59 23 10
15 25 0
9 5 0
59 90 23
82 0 0
4 64 52
52 61 18
15 37 0
7 64 37
9 25 0
48 87 0
55 42 0
61 0 0
49 1 0
35 42 2
40 0 0
84 20 61
48 8 0
52 54 0
20 0 0
49 88 0
18 61 0
84 4 33
62 84 0
13 32 49
28 77 47
88 20 75
36 33 0
48 33 52
29 0 0
9 0 0
77 8 66
49 82 0
72 1 0
52 17 0
77 0 0
28 7 33
9 0 0
42 50 49
21 52 1
78 47 36
59 38 77
88 49 0
51 0 0
57 1 0
3 0 0
64 82 52
52 48 51
6 15 32
9 0 0
76 36 72
33 76 25
33 0 0
77 36 5
84 15 88
13 76 0
52 28 0
1 85 48
22 0 0
14 37 0
15 0 0
5 33 38
31 36 13
12 81 0
18 80 81
40 0 0
36 0 0
88 59 20
16 57 7
77 33 0
52 38 33
43 50 12
71 23 20
64 40 5
14 0 0
89 0 0
66 40 0
61 10 20
3 11 77
63 23 12
23 8 42
17 0 0
8 64 77
9 62 0
38 60 0
63 62 64
63 60 0
34 90 2
65 0 0
78 20 1
85 0 0
38 8 30
63 0 0
33 0 0
49 0 0
42 66 0
58 61 0
87 0 0
49 88 90
23 49 0
7 8 63
14 15 48
43 37 83
25 40 29
38 1 72
85 20 0
38 5 66
40 78 0
69 10 0
30 5 6
76 29 15
52 59 37
77 78 11
30 42 0
78 1 0
85 29 32
48 31 0
42 30 14
38 21 0
66 87 0
40 0 0
14 58 0
29 31 15
87 20 0
62 77 0
7 0 0
4 82 78
7 0 0
78 15 52
18 7 38
5 14 0
11 15 71
62 84 0
55 0 0
7 8 64
1 74 0
31 77 1
21 65 0
18 58 7
72 37 0
28 0 0
74 38 0
6 0 0
8 88 50
25 4 0
34 14 15
33 28 0
7 0 0
47 0 0
15 9 0
17 1 0
76 50 0
3 6 0
72 0 0
58 7 12
70 0 0
65 15 60
74 85 20
50 0 0
3 42 0
40 0 0
40 1 5
48 88 64
88 20 31
76 5 47
53 40 0
52 17 0
15 76 1
20 65 38
42 63 52
63 52 36
9 0 0
29 0 0
9 59 55
3 77 52
88 18 0
20 51 0
34 42 22
55 59 24
1 55 37
31 8 20
8 42 1
18 31 0
3 87 0
56 52 42
36 52 0
25 0 0
4 9 52
32 63 0
27 18 43
40 0 0
5 40 33
9 0 0
59 0 0
15 47 18
71 78 48
37 52 33
84 0 0
21 0 0
86 37 42
63 0 0
15 77 35
5 49 0
28 20 0
50 59 0
83 77 0
4 0 0
52 38 0
87 7 70
18 20 77
22 0 0
9 34 70
1 70 0
34 88 84
88 15 59
22 48 14
38 42 36
74 49 38
22 37 0
4 18 20
2 23 0
40 14 0
88 29 0
37 59 0
52 23 42
]

Allocations: [
45 79 39 68 73 53 19 44 16 71 27 41 2 46 60 67 56 83 80 57 69 55 75 54 89 12 81 62 23 26 24 86 35 17 90 58 51 25 85 65 31 11 87 10 13 70 3 32 47 6 30 21 43 64 66 78 76 61 8 72 22 18 82 14 28 4 5 84 34 48 63 29 49 74 37 36 20 38 50 7 88 9 40 77 15 1 33 59 42 52 52 42 59 33 1 15
]

DistanceShelfShelf: [
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28
1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27
2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26
3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25
4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24
5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23
6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22
7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21
8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20
9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19
10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18
11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17
12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16
13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15
14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14
15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13
16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11
18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10
19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9
20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8
21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7
22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6
23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28
1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27
2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26
3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25
4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24
5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23
6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22
7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21
8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20
9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19
10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18
11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17
12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 17 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16
13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 18 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15
14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 19 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14
15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 20 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13
16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 21 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 22 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11
18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 23 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10
19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 24 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9
20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 25 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8
21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 26 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7
22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 27 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6
23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5
5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 27 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
